Num,Track.Name,artiste,Genre,Length.,Danceability,Beats.Per.Minute,Energy,Loudness..dB..,Liveness,Valence.,Acousticness..,Speechiness.,Popularity,Ecoutes,Pochette,Paroles
1,Señorita,Shawn Mendes,canadian pop,191,76,117,55,-6,8,75,4,3,79,14000000,senorita.jpg,senorita.txt
2,China,Anuel AA,reggaeton flow,302,79,105,81,-4,8,61,8,9,92,12345789,china.jpg,
3,boyfriend (with Social House),Ariana Grande,dance pop,186,40,190,80,-4,16,70,12,46,85,,,
4,Beautiful People (feat. Khalid),Ed Sheeran,pop,198,64,93,65,-8,8,55,12,19,86,,,
5,Goodbyes (Feat. Young Thug),Post Malone,dfw rap,175,58,150,65,-4,11,18,45,7,94,,,
6,I Don't Care (with Justin Bieber),Ed Sheeran,pop,220,80,102,68,-5,9,84,9,4,84,,,
7,Ransom,Lil Tecca,trap music,131,75,180,64,-6,7,23,2,29,92,,,
8,How Do You Sleep?,Sam Smith,pop,202,48,111,68,-5,8,35,15,9,90,,,
9,Old Town Road - Remix,Lil Nas X,country rap,157,88,136,62,-6,11,64,5,10,87,,,
10,bad guy,Billie Eilish,electropop,194,70,135,43,-11,10,56,33,38,95,,,
11,Callaita,Bad Bunny,reggaeton,251,61,176,62,-5,24,24,60,31,93,,,
12,Loco Contigo (feat. J. Balvin & Tyga),DJ Snake,dance pop,185,82,96,71,-4,15,38,28,7,86,,,
13,Someone You Loved,Lewis Capaldi,pop,182,50,110,41,-6,11,45,75,3,88,,,
14,Otro Trago - Remix,Sech,panamanian pop,288,73,176,79,-2,6,76,7,20,87,,,
15,Money In The Grave (Drake ft. Rick Ross),Drake,canadian hip hop,205,83,101,50,-4,12,10,10,5,92,,,
16,No Guidance (feat. Drake),Chris Brown,dance pop,261,70,93,45,-7,16,14,12,15,82,,,
17,LA CANCIÓN,J Balvin,latin,243,75,176,65,-6,11,43,15,32,90,,,
18,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,dfw rap,158,76,90,48,-6,7,91,56,5,91,,,
19,Lalala,Y2K,canadian hip hop,161,84,130,39,-8,14,50,18,8,88,,,
20,Truth Hurts,Lizzo,escape room,173,72,158,62,-3,12,41,11,11,91,,,
21,Piece Of Your Heart,MEDUZA,pop house,153,68,124,74,-7,7,63,4,3,91,,,
22,Panini,Lil Nas X,country rap,115,70,154,59,-6,12,48,34,8,91,,,
23,No Me Conoce - Remix,Jhay Cortez,reggaeton flow,309,81,92,79,-4,9,58,14,7,83,,,
24,Soltera - Remix,Lunay,latin,266,80,92,78,-4,44,80,36,4,91,,,
25,bad guy (with Justin Bieber),Billie Eilish,electropop,195,67,135,45,-11,12,68,25,30,89,,,
26,If I Can't Have You,Shawn Mendes,canadian pop,191,69,124,82,-4,13,87,49,6,70,,,
27,Dance Monkey,Tones and I,australian pop,210,82,98,59,-6,18,54,69,10,83,,,
28,It's You,Ali Gatie,canadian hip hop,213,73,96,46,-7,19,40,37,3,89,,,
29,Con Calma,Daddy Yankee,latin,193,74,94,86,-3,6,66,11,6,91,,,
30,QUE PRETENDES,J Balvin,latin,222,64,93,79,-4,36,94,3,25,89,,,
31,Takeaway,The Chainsmokers,edm,210,29,85,51,-8,10,36,12,4,84,,,
32,7 rings,Ariana Grande,dance pop,179,78,140,32,-11,9,33,59,33,89,,,
33,0.9583333333,Maluma,reggaeton,176,78,96,71,-5,9,68,22,28,89,,,
34,The London (feat. J. Cole & Travis Scott),Young Thug,atl hip hop,200,80,98,59,-7,13,18,2,15,89,,,
35,Never Really Over,Katy Perry,dance pop,224,77,100,88,-5,32,39,19,6,89,,,
36,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),Martin Garrix,big room,164,66,114,72,-7,14,32,18,6,89,,,
37,Otro Trago,Sech,panamanian pop,226,75,176,70,-5,11,62,14,34,91,,,
38,Antisocial (with Travis Scott),Ed Sheeran,pop,162,72,152,82,-5,36,91,13,5,87,,,
39,Sucker,Jonas Brothers,boy band,181,84,138,73,-5,11,95,4,6,80,,,
40,"fuck, i'm lonely (with Anne-Marie) - from “13 Reasons Why: Season 3”",Lauv,dance pop,199,81,95,56,-6,6,68,48,7,78,,,
41,Higher Love,Kygo,edm,228,69,104,68,-7,10,40,2,3,88,,,
42,You Need To Calm Down,Taylor Swift,dance pop,171,77,85,68,-6,7,73,1,5,90,,,
43,Shallow,Lady Gaga,dance pop,216,57,96,39,-6,23,32,37,3,87,,,
44,Talk,Khalid,pop,198,90,136,40,-9,6,35,5,13,84,,,
45,Con Altura,ROSALÍA,r&b en espanol,162,88,98,69,-4,5,75,39,12,88,,,
46,One Thing Right,Marshmello,brostep,182,66,88,62,-2,58,44,7,5,88,,,
47,Te Robaré,Nicky Jam,latin,202,67,176,75,-4,8,80,24,6,88,,,
48,Happier,Marshmello,brostep,214,69,100,79,-3,17,67,19,5,88,,,
49,Call You Mine,The Chainsmokers,edm,218,59,104,70,-6,41,50,23,3,88,,,
50,Cross Me (feat. Chance the Rapper & PnB Rock),Ed Sheeran,pop,206,75,95,79,-6,7,61,21,12,82,,,